source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,"@ronnieclemmons: @ChrisCJackson @TakouiS @realDonaldTrump  Trump now leads her by 2 - get real she will lose big",09-05-2016 01:30:36,4406,15418,false,772607833275830272
Twitter for Android,"@lblackvelvet: @realDonaldTrump We need to show Americans that Hillary will KILL our Country !! Vote for Trump !!",09-05-2016 01:28:02,5704,18397,false,772607185851408387
Twitter for Android,"@CherNuna: @realDonaldTrump It defies belief the Web of Lies Hillary is spinning! One excuse after another. Then it's this then it's that.,09-05-2016 01:24:26,4834,15868,false,772606281576280064
Twitter for Android,Lyin' Hillary Clinton told the FBI that she did not know the "C" markings on documents stood for CLASSIFIED. How can this be happening?,09-04-2016 23:49:48,18954,48182,false,772582467601588224
Twitter for Android,To the African-American community: The Democrats have failed you for fifty years high crime poor schools no jobs. I will fix it VOTE "T",09-04-2016 23:26:41,12461,36426,false,772576650718482432
Twitter for Android,The polls are close so Crooked Hillary is getting out of bed and will campaign tomorrow.Why did she hammer 13 devices and acid-wash e-mails?,09-04-2016 23:17:38,13949,35269,false,772574369633763329
Twitter for Android,The Great State of Arizona where I just had a massive rally (amazing people) has a very weak and ineffective Senator Jeff Flake. Sad!,09-04-2016 23:05:24,6079,20799,false,772571293438840832
Twitter for Android,The Republican Party needs strong and committed leaders not weak people such as @JeffFlake if it is going to stop illegal immigration.,09-04-2016 22:05:29,7153,21588,false,772556213313765377
Twitter for iPhone,RT @DanScavino: Doesn't fit the MSM narrative - so they wont share what @realDonaldTrump did for Jesse Jackson in 1999 - so I will! https:/…,09-04-2016 16:35:36,13299,0,true,772473194162905089
Twitter for Android,"@AnneBellar: @realDonaldTrump @CNN CNN is so biased. Never ever watch them. Trump 2016!!",09-04-2016 16:11:27,5759,18549,false,772467120114397184
Twitter for Android,Crooked Hillary's V.P. pick said this morning that I was not aware that Russia took over Crimea. A total lie - and taken over during O term!,09-04-2016 16:04:21,6808,21645,false,772465330740404225
Twitter for Android,Wow the failing @nytimes has not reported properly on Crooked's FBI release. They are at the back of the pack - no longer a credible source,09-04-2016 12:55:58,9424,29035,false,772417922279043073
Twitter for Android,.@CNN is so disgusting in their bias but they are having a hard time promoting Crooked Hillary in light of the new e-mail scandals.,09-03-2016 20:36:39,13924,39850,false,772171469476552704
Twitter for Android,Great visit to Detroit church fantastic reception and all @CNN talks about is a small protest outside. Inside a large and wonderful crowd!,09-03-2016 20:33:36,11780,37141,false,772170704687099904
Twitter for iPhone,I am returning to the Pensacola Bay Center in Florida- Friday 9/9/16 at 7pm. Join me! https://t.co/L8Ui56dcrJ https://t.co/wAePlfS0JL,09-03-2016 20:15:15,6278,18464,false,772166085974130697
Twitter for iPhone,Thank you Great Faith Ministries International Bishop Wayne T. Jackson and Detroit!https://t.co/4Ucx678ZCC,09-03-2016 17:27:53,10884,28153,false,772123965938597888
Twitter for iPad,#ImWithYou https://t.co/I8dHzezmY4,09-03-2016 11:39:03,12458,29169,false,772036179420127232
Twitter for iPhone,#AmericaFirst #ImWithYou https://t.co/Gtl7DyQkzt,09-02-2016 23:35:14,9385,25604,false,771854023544549377
Twitter for iPhone,Great new poll Iowa - thank you!#MakeAmericaGreatAgain #ImWithYou https://t.co/7hupah1RQN,09-02-2016 16:55:57,10161,25028,false,771753541698523136
Twitter for Android,I visited our Trump Tower campaign headquarters last night after returning from Ohio and Arizona and it was packed with great pros - WIN!,09-02-2016 12:35:44,7138,28943,false,771688054344089601
Twitter for Android,People will be very surprised by our ground game on Nov. 8. We have an army of volunteers and people with GREAT SPIRIT! They want to #MAGA!,09-02-2016 12:32:31,9269,28032,false,771687247951298560
Twitter for Android,Just heard that crazy and very dumb @morningmika had a mental breakdown while talking about me on the low ratings @Morning_Joe. Joe a mess!,09-02-2016 12:28:58,5828,20685,false,771686352438042624
Twitter for iPhone,I will be interviewed by @ericbolling tonight at 8pm on the @oreillyfactor. Enjoy!,09-01-2016 22:53:52,3882,15487,false,771481226578460672
Twitter for iPhone,I am promising you a new legacy for America. We're going to create a new American future. Thank you OHIO! #ImWithYou https://t.co/TUgccsxvoy,09-01-2016 17:05:25,9629,28965,false,771393537900503040
Twitter for iPhone,Thank you for having me this morning @AmericanLegion. I enjoyed my time with everyone! #ALConvention2016 https://t.co/19TZEi6EbB,09-01-2016 14:22:26,6264,20032,false,771352519457005568
Twitter for Android,Poll numbers way up - making big progress!,09-01-2016 10:46:44,9908,37264,false,771298236376178688
Twitter for Android,Thank you to @foxandfriends for the great review of the speech on immigration last night. Thank you also to the great people of Arizona!,09-01-2016 10:40:13,6975,28478,false,771296597963661312
Twitter for Android,Mexico will pay for the wall!,09-01-2016 10:31:17,36616,62418,false,771294347501461504
Twitter for iPhone,Under a Trump administration it's called #AmericaFirst! #ImWithYouhttps://t.co/QfHfCQg0Wa,09-01-2016 05:07:04,8581,22960,false,771212757517557760
Twitter for iPhone,Hillary Clinton doesn't have the strength or the stamina to MAKE AMERICA GREAT AGAIN! #AmericaFirsthttps://t.co/G1MuLrjhW9,09-01-2016 05:06:52,6990,20183,false,771212706275741696
Twitter for iPhone,There will be no amnesty!#MakeAmericaGreatAgain #ImWithYouhttps://t.co/vVhzSdCblA,09-01-2016 04:58:53,6376,17672,false,771210697552166913
Twitter for iPhone,Mexico will pay for the wall - 100%!#MakeAmericaGreatAgain #ImWithYouhttps://t.co/pSFuPZz0xP,09-01-2016 04:58:19,10186,21430,false,771210555822477313
Twitter for iPhone,RT @LouDobbs: We are Watching A Leader Who for the First Time in Three Presidencies Will Put America and Americans First! @realDonaldTrump…,09-01-2016 04:40:54,9249,0,true,771206171856207873
Twitter for iPhone,RT @AnnCoulter: I hear Churchill had a nice turn of phrase but Trump's immigration speech is the most magnificent speech ever given.,09-01-2016 04:40:26,8921,0,true,771206056454127616
Twitter for iPhone,Just arrived in Arizona! #ImWithYouhttps://t.co/MT3wW61YS5,09-01-2016 00:57:54,3254,14641,false,771150050940497920
Twitter for Android,Great trip to Mexico today  - wonderful leadership and high quality people! Look forward to our next meeting.,09-01-2016 00:43:00,9988,34936,false,771146302134423552
Twitter for iPhone,Hillary Clinton didn't go to Louisiana and now she didn't go to Mexico. She doesn't have the drive or stamina to MAKE AMERICA GREAT AGAIN!,09-01-2016 00:40:07,20309,56392,false,771145576381427712
Twitter for Android,Former President Vicente Fox who is railing against my visit to Mexico today also invited me when he apologized for using the "f bomb.",08-31-2016 13:07:38,10639,29986,false,770971306766381056
Twitter for iPad,Thank you Washington! Together WE will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/CWDQnISYH4,08-31-2016 03:56:43,9467,27490,false,770832664303587328
Twitter for iPhone,I have accepted the invitation of President Enrique Pena Nieto of Mexico and look very much forward to meeting him tomorrow.,08-31-2016 02:33:22,20076,54767,false,770811688966770689
Twitter for iPad,RT @RSBNetwork: We are ALREADY LIVE in Everett WA for the Trump Rally. Come join us- our cameras tonight! #TrumpinEverett https://t.co/R…,08-31-2016 02:17:40,2239,0,true,770807738104328192
Twitter for iPad,RT @DRUDGE_REPORT: REUTERS POLL:  CLINTON TRUMP ALL TIED UP... https://t.co/htCXcTA5T7,08-31-2016 02:14:10,3540,0,true,770806857271091201
Twitter for iPhone,Thank you North Carolina! #MAGA https://t.co/1oWrFnHe0u,08-30-2016 23:54:36,7530,22908,false,770771735092142080
Twitter for iPhone,Thank you America! #MAGAhttps://t.co/FljBVvbwKr https://t.co/ePJW9jLckM,08-30-2016 20:47:05,7869,21603,false,770724546454417408
Twitter for Android,"@meequalsfree: Looking forward to seeing you again! Everett to be a packed house! @realDonaldTrump  @mike_pence",08-30-2016 10:46:19,3272,11993,false,770573355191631873
Twitter for Android,From day one I said that I was going to build a great wall on the SOUTHERN BORDER and much more. Stop illegal immigration. Watch Wednesday!,08-30-2016 10:27:21,11084,33503,false,770568584443539456
Twitter for iPhone,Join me this Thursday in Wilmington Ohio at noon! #ImWithYouTickets: https://t.co/66bfVtIwf1 https://t.co/fDAJl5wVGe,08-30-2016 00:27:21,5043,13973,false,770417590351040513
Twitter for iPhone,Join me this Wednesday in Phoenix Arizona at 6pm! #ImWithYouTickets: https://t.co/1jATILh2k7 https://t.co/VwKnxo1TNQ,08-30-2016 00:15:51,4666,12563,false,770414693869649921
